"","feature","chi2","p","n_target","n_reference","normalized_chi2","topic","topic_parent","length","ontology"
"1","post_office",2186.06477260039,0,241,52,1,"english_contract_law","UK Law",2,"Law"
"2","english_contract_law_case",1494.25468617288,0,134,3,0.792499830628266,"english_contract_law","UK Law",4,"Law"
"3","english_contract_law",1492.22690183126,0,184,61,0.79189162094386,"english_contract_law","UK Law",3,"Law"
"4","court_of_appeal",1048.87520921732,0,310,478,0.658913578105975,"english_contract_law","UK Law",3,"Law"
"5","breach_of_contract",956.211573682538,0,147,86,0.631120227813325,"english_contract_law","UK Law",3,"Law"
"6","ewca_civ",773.825595460885,0,216,312,0.576415732873891,"english_contract_law","UK Law",2,"Law"
"7","post_office_ltd",615.300155669882,0,56,1,0.528867921340489,"english_contract_law","UK Law",3,"Law"
"8","present_case",508.391436770232,0,110,115,0.49680192849909,"english_contract_law","UK Law",2,"Law"
"9","undue_influence",350.581413147099,0,87,109,0.449468697497132,"english_contract_law","UK Law",2,"Law"
"10","specific_performance",343.711839393299,0,70,67,0.447408250930378,"english_contract_law","UK Law",2,"Law"
"11","high_court",290.875649984917,0,114,232,0.431560667227441,"english_contract_law","UK Law",2,"Law"
"12","house_of_lords",221.792834809498,0,144,436,0.410840102247534,"english_contract_law","UK Law",3,"Law"
"13","england_and_wales",213.146204786966,0,128,367,0.408246648886027,"english_contract_law","UK Law",3,"Law"
"14","set_aside",211.171559097883,0,57,79,0.407654377505525,"english_contract_law","UK Law",2,"Law"
"15","unfair_contract",190.84141713748,0,54,79,0.401556594338009,"english_contract_law","UK Law",2,"Law"
"16","good_faith",170.667847104566,0,58,103,0.395505773049354,"english_contract_law","UK Law",2,"Law"
"17","co_ltd",148.872882261019,0,92,269,0.388968633760389,"english_contract_law","UK Law",2,"Law"
"18","house_of_lords_held",81.3613774609155,0,41,103,0.368719364552849,"english_contract_law","UK Law",4,"Law"
"19","common_law",76.2996511391451,0,119,581,0.367201160222374,"english_contract_law","UK Law",2,"Law"
"20","cause_of_action",71.115405688526,0,41,114,0.365646207743113,"english_contract_law","UK Law",3,"Law"
"21","contract_law",50.3495446977449,1.28663746323809e-12,46,172,0.359417735858599,"english_contract_law","UK Law",2,"Law"
"22","english_law",38.2857558995557,6.11070638534272e-10,76,409,0.355799346552054,"english_contract_law","UK Law",2,"Law"
"23","supreme_court",21.8606598821267,2.93183323696322e-06,64,394,0.350872835255922,"english_contract_law","UK Law",2,"Law"
"24","british_museum",2592.61584818241,0,210,99,1,"english_property_law","UK Law",2,"Law"
"25","staffordshire_hoard",1143.32835249143,0,61,0,0.555476016475326,"english_property_law","UK Law",2,"Law"
"26","portable_antiquities_scheme",894.214023495786,0,49,1,0.479067923389956,"english_property_law","UK Law",3,"Law"
"27","actual_occupation",850.053181311536,0,60,17,0.465522954885148,"english_property_law","UK Law",2,"Law"
"28","new_forest",691.705202989456,0,43,6,0.416954624366812,"english_property_law","UK Law",2,"Law"
"29","assured_tenancy",515.066700008784,0,47,28,0.3627762427674,"english_property_law","UK Law",2,"Law"
"30","duty_of_care",1579.19732684755,0,225,243,1,"english_tort_law","UK Law",3,"Law"
"31","defamation_act",1394.1980273793,0,89,5,0.917277465628008,"english_tort_law","UK Law",2,"Law"
"32","english_tort_law",664.389825579925,0,61,26,0.590943343110576,"english_tort_law","UK Law",3,"Law"
"33","home_office",439.528273796156,0,52,41,0.490396381582406,"english_tort_law","UK Law",2,"Law"
"34","house_of_lords",414.285964135709,0,146,434,0.479109269498648,"english_tort_law","UK Law",3,"Law"
"35","tort_law",392.195842578446,0,66,90,0.469231659988479,"english_tort_law","UK Law",2,"Law"
"36","anglo-saxon_law",352.799227884083,0,46,43,0.451615442940295,"english_tort_law","UK Law",2,"Law"
"37","trust_law",333.906565311799,0,46,47,0.443167578902397,"english_tort_law","UK Law",2,"Law"
"38","labour_law",330.094480932768,0,55,74,0.441463003360869,"english_tort_law","UK Law",2,"Law"
"39","eu_law",327.934207307211,0,41,34,0.440497035869334,"english_tort_law","UK Law",2,"Law"
"40","family_law",316.591718160268,0,46,51,0.435425235862422,"english_tort_law","UK Law",2,"Law"
"41","administrative_law",315.504621415476,0,44,44,0.434939139979382,"english_tort_law","UK Law",2,"Law"
"42","common_law",286.579903021838,0,143,557,0.422005436887557,"english_tort_law","UK Law",2,"Law"
"43","commercial_law",272.799347022444,0,52,83,0.415843454001127,"english_tort_law","UK Law",2,"Law"
"44","breach_of_duty",265.952395900044,0,46,65,0.412781836193956,"english_tort_law","UK Law",3,"Law"
